GROUP_ID,ARTIFACT_ID,VERSION,LOC,USAGE_NUM,CLASS_NUM
org.xbib.elasticsearch.plugin,elasticsearch-langdetect,5.3.0.1,1174,0,19
org.xbib.elasticsearch.plugin,elasticsearch-plugin-bundle,5.3.0.0,10179,0,142
pl.allegro.tech.elasticsearch.plugin,elasticsearch-analysis-morfologik,5.3.0,64,0,3
org.elasticsearch,elasticsearch,5.3.0,313933,0,5589
com.googlecode.rapid-framework,rapid-core,4.0.3,9733,0,181
com.toolazydogs.shiro,shiro-struts2,1.0,37,0,2
com.tr8nhub,struts2-clientsdk,0.1.0,71,0,2
com.translationexchange,tml-struts2,0.2.1,115,0,2
com.yasudanetwork.struts2,flush-scope-plugin,0.1.4,591,0,18
org.nutz,nutz-integration-struts2,1.r.57,46,0,1
org.apache.struts,struts2-core,2.1.8.1,23849,0,413
org.onosproject,onos-ovsdb-api,1.6.0,1800,0,30
org.onosproject,onos-ovsdb-ctl,1.6.0,598,0,13
org.opencord,vtn,1.0.0,3351,0,58
org.onosproject,onos-ovsdb-rfc,1.6.0,5738,0,110
com.dtstack.jlogstash,input.file,1.0.0,1166,0,11
com.github.rapidark,rapid-ark-annotation,0.3.0,10,0,1
com.github.rapidark,rapid-ark-framework,0.0.3,64736,0,657
com.github.rapidark,rapid-ark-framework-ext,0.1.1,9630,0,91
com.github.rapidark,rapid-ark-platform,0.0.3,14613,0,241
com.github.rapidark,rapid-ark-preloader,0.1.0,13688,0,101
com.github.rapidark,rapid-ark-pretty,0.3.0,72504,0,1047
com.github.rapidark,rapid-ark-pretty-demo,0.3.0,4349,0,89
com.github.rapidark,rapid-ark-pretty-demo-keeper,0.3.0,5483,0,86
com.github.rapidark,rapid-ark-processor,0.3.0,181,0,2
com.github.rapidark,rapid-ark-product,0.1.0,53,0,4
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.api.datasets-asl,1.10.0,1436,0,25
io.github.emsoft,scalut-misc_2.11,0.3.0,4930,0,217
io.github.emsoft,scalut-misc_2.12,0.3.0,4971,0,134
io.leopard,leopard-util,0.9.12,224,0,5
org.codelibs.fess,fess-crawler,1.0.3,12872,0,154
org.oiue,tools,1.0.0,28615,0,64
org.whitesource,whitesource-fs-agent,18.6.4,12997,0,134
com.github.junrar,junrar,0.7,8887,0,93
biz.gabrys.maven.plugins,directory-content-maven-plugin,3.0.0,713,0,15
cn.geminis,geminis-core,1.3.0,1219,0,21
cn.wjee.boot,wjee-spring-boot-autoconfigure,2.1.1.3,14451,0,305
cn.yioks.gitlab.core,springboot-common,v1.1.10,7471,0,98
com.almis.awe,awe-model,4.1.2,37565,0,573
com.anrisoftware.propertiesutils,propertiesutils-contextproperties,4.5.1,1119,0,21
com.btc-ag.redg,redg-generator,2.4,1890,0,43
com.cedarsoft.open.serialization.samples,demo1,8.9.2,44,0,2
com.cedarsoft.open.serialization.samples,evolution,8.9.2,319,0,9
com.cedarsoft.open.serialization.samples,stax-demo,8.9.2,468,0,11
com.cedarsoft.open.serialization.samples,stax-mate-demo,8.9.2,439,0,11
com.cedarsoft.serialization.samples,demo1,8.8.0,44,0,2
com.cedarsoft.serialization.samples,evolution,8.9.0,319,0,9
com.cedarsoft.serialization.test,performance,8.8.0,214,0,4
com.exactpro.sf,sailfish-frontend,3.2.1674,30861,0,311
com.github.chaojunzi,chao-cloud-common-extra,1.0.4,5259,0,84
com.github.dimovelev,metrics-sampler-core,0.9.1,4935,0,130
com.github.dimovelev,metrics-sampler-extension-jdbc,0.9.1,569,0,8
com.github.fk7075,lucky,1.1.1,29960,0,460
com.github.fk7075,lucky-framework,2.0.0,4679,0,125
com.github.fk7075,lucky-utils,V2-TEST,18206,0,248
com.github.jackieonway.util,jackie-tool,1.0.1,4307,0,46
com.github.jarvisframework,jarvis-tool-core,1.0.5,31531,0,318
